Timestamp,UserID,Event Name,UUID,Param/PlayerNumber,Param/NumberOfAttacksInput,Param/NumberOfBlocksInput,Param/NumberOfHitsBlocked,Param/NumberOfHitsTaken,Param/TotalEnergyUsed,Param/TotalEnergyGenerated,Param/AverageEnergyUsed,Param/TotalDistanceTraveled,Param/PlayerDefeated,Param/TotalDuelTime,Param/NumberOfClashes
14/11/2023 01:54:33,NULL,PlayerDuelOverData,d2937588bfd280d610ac98ea24aea6da,1,6,0,0,2,120,125,10.2304106,19.5553246,,,
14/11/2023 01:54:33,NULL,PlayerDuelOverData,d2937588bfd280d610ac98ea24aea6da,2,2,0,0,6,40,35,3.410137,7.527838,,,
14/11/2023 01:54:33,NULL,DuelOverData,550f40babe631186c685f0c987269877,,,,,,,,,,2,11.7297344,2
14/11/2023 02:13:48,NULL,PlayerDuelOverData,9f2d3d0b31c0ef3ce61a1051715fc465,1,2,0,0,6,40,40,4.57531643,10.4305191,,,
14/11/2023 02:13:48,NULL,PlayerDuelOverData,9f2d3d0b31c0ef3ce61a1051715fc465,2,6,0,0,2,120,55,13.7259483,16.8624458,,,
14/11/2023 02:13:48,NULL,DuelOverData,c671d130f9abd054a50e6166d2a73d95,,,,,,,,,,1,8.742565,2
14/11/2023 15:43:25,NULL,PlayerDuelOverData,072553cd35ca77139fdab23d4d1fce1f,1,13,6,0,4,260,235,5.32313728,104.569839,,,
14/11/2023 15:43:25,NULL,PlayerDuelOverData,072553cd35ca77139fdab23d4d1fce1f,2,23,14,2,8,520,430,10.6462746,77.707756,,,
14/11/2023 15:43:25,NULL,DuelOverData,a3002ac40b0179bdee48f7079c52ad81,,,,,,,,,,2,48.8433762,8
14/11/2023 16:02:48,NULL,PlayerDuelOverData,de140a981ba666ad69559ab10d343142,1,6,2,5,8,250,155,12.43257,28.2675476,,,
14/11/2023 16:02:48,NULL,PlayerDuelOverData,de140a981ba666ad69559ab10d343142,2,8,0,0,6,160,150,7.956845,27.70089,,,
14/11/2023 16:02:48,NULL,DuelOverData,0ffd6f1030ac761647af1795421a7e80,,,,,,,,,,2,20.1084728,4
14/11/2023 16:31:22,NULL,PlayerDuelOverData,b350d4bf9e35154f9c0a661193912a6e,1,8,9,4,10,305,220,11.9601345,34.64183,,,
14/11/2023 16:31:22,NULL,PlayerDuelOverData,b350d4bf9e35154f9c0a661193912a6e,2,12,20,3,7,330,230,12.9404736,41.3572769,,,
14/11/2023 16:31:22,NULL,DuelOverData,e55e4713d0db58003cf54b73e10c4085,,,,,,,,,,1,25.5013847,4
14/11/2023 16:51:27,NULL,PlayerDuelOverData,5382d34e9d767e7a2a072a6ecc200f76,1,14,16,0,5,280,205,6.36789465,72.65112,,,
14/11/2023 16:51:27,NULL,PlayerDuelOverData,5382d34e9d767e7a2a072a6ecc200f76,2,23,9,2,7,520,420,11.82609,97.84135,,,
14/11/2023 16:51:27,NULL,DuelOverData,47ca51240752067e96b1a3c9327e28aa,,,,,,,,,,2,43.9705772,4
14/11/2023 17:43:25,NULL,PlayerDuelOverData,4742d376fed69708d6c0d0d06427b9d1,1,2,3,6,10,230,135,11.9137411,43.31007,,,
14/11/2023 17:43:25,NULL,PlayerDuelOverData,4742d376fed69708d6c0d0d06427b9d1,2,13,0,0,2,260,160,13.4677076,49.1635742,,,
14/11/2023 17:43:25,NULL,DuelOverData,bdc4601df5869d677afbbabacefd5258,,,,,,,,,,1,19.305439,0
14/11/2023 17:50:07,NULL,PlayerDuelOverData,3deb70be65b139429ff9c1fca551dc7a,1,2,6,8,13,270,180,13.1054468,29.8840675,,,
14/11/2023 17:50:07,NULL,PlayerDuelOverData,3deb70be65b139429ff9c1fca551dc7a,2,14,0,0,1,280,180,13.5908337,55.3857079,,,
14/11/2023 17:50:07,NULL,DuelOverData,cbb8dbc46eed22f7162948dbe51562c3,,,,,,,,,,1,20.6021214,2
14/11/2023 17:51:24,NULL,PlayerDuelOverData,300727df4acfddadd0e526dd8b6a569f,1,12,12,6,12,300,220,10.8399763,46.09011,,,
14/11/2023 17:51:24,NULL,PlayerDuelOverData,300727df4acfddadd0e526dd8b6a569f,2,15,7,3,10,330,250,11.923974,77.04747,,,
14/11/2023 17:51:24,NULL,DuelOverData,ef6c03c7e45f50629da11d8988f0324a,,,,,,,,,,2,27.6753368,6
14/11/2023 17:54:31,NULL,PlayerDuelOverData,46a4ca9d71a7c56057303d4d8355a80b,1,18,21,7,12,430,330,11.9137878,87.55063,,,
14/11/2023 17:54:31,NULL,PlayerDuelOverData,46a4ca9d71a7c56057303d4d8355a80b,2,18,13,8,17,440,345,12.1908522,87.04324,,,
14/11/2023 17:54:31,NULL,DuelOverData,1706a027bd827122ba9dc62e96545d85,,,,,,,,,,2,36.0926361,6
14/11/2023 17:57:34,NULL,PlayerDuelOverData,3480e52bee08ab9b754e3fab33065b62,1,18,2,2,9,420,325,11.4640093,83.9436,,,
14/11/2023 17:57:35,NULL,PlayerDuelOverData,be024df036d0134fdfaa6b4886d9fd5b,2,11,11,5,10,400,305,10.9181042,75.2489243,,,
14/11/2023 17:57:35,NULL,DuelOverData,d428c9daffd62e45138b6512fa843050,,,,,,,,,,1,36.6364,8
